mission;datetime;lat;lon;doc;acdom412
Dyphyma;2012-04-28T22:08;51.0042;1.19165;27.932016;0.1217
Dyphyma;2012-04-28T22:08;51.0042;1.19165;27.932016;0.1217
Guyane2010;2010-10-21T17:32;4.95755;-52.2201;35.993248;0.9036587
Guyane2010;2010-10-21T17:32;4.95755;-52.2201;35.993248;0.9036587
Moore_gulf_of_maine;2007-09-11T12:10;43.03317;-70.56865;48.419827;-999.99
Moore_gulf_of_maine;2007-09-11T12:10;43.03317;-70.56865;48.419827;-999.99
AMAZOMIX;2021-09-03T21:34;1.3425;-46.0243;48.686;-999.99
Guyane2010;2010-10-18T19:07;5.28518;-52.63717;50.06904;0.21435136
Guyane2010;2010-10-18T19:07;5.28518;-52.63717;50.06904;0.21435136
Guyane2010;2010-10-20T13:36;5.214;-52.59377;51.598167;0.27937302
Guyane2010;2010-10-20T13:36;5.214;-52.59377;51.598167;0.27937302
Dyphyma;2012-04-27T20:26;51.083;1.36013;51.8491;0.1283
Dyphyma;2012-04-27T20:26;51.083;1.36013;51.8491;0.1283
Guyane2010;2010-10-17T18:55;5.27732;-52.64027;51.872623;0.2961848
Guyane2010;2010-10-17T18:55;5.27732;-52.64027;51.872623;0.2961848
Guyane2010;2010-10-20T15:36;5.26968;-52.55632;51.951042;0.25281215
Guyane2010;2010-10-20T15:36;5.26968;-52.55632;51.951042;0.25281215
Guyane2010;2010-10-18T12:19;5.18585;-52.52258;53.048878;0.24400325
Guyane2010;2010-10-18T12:19;5.18585;-52.52258;53.048878;0.24400325
Dyphyma;2012-04-21T11:47;50.9911;1.45392;55.221016;0.1412
Dyphyma;2012-04-21T11:47;50.9911;1.45392;55.221016;0.1412
Dyphyma;2012-04-21T05:16;50.987;1.04258;56.514893;0.1579
Dyphyma;2012-04-21T05:16;50.987;1.04258;56.514893;0.1579
Guyane2010;2010-10-17T15:12;5.33677;-52.68803;57.16575;0.23012736
Guyane2010;2010-10-17T15:12;5.33677;-52.68803;57.16575;0.23012736
Dyphyma;2012-04-21T08:09;51.0098;1.2337;58.318474;0.1176
Dyphyma;2012-04-21T08:09;51.0098;1.2337;58.318474;0.1176
Moore_gulf_of_maine;2004-10-29T12:52;42.9943;-70.42183;60.373528;0.541515
Moore_gulf_of_maine;2004-10-29T12:52;42.9943;-70.42183;60.373528;0.541515
Guyane2010;2010-10-19T12:50;5.24055;-52.59;60.655293;0.23680599
Guyane2010;2010-10-19T12:50;5.24055;-52.59;60.655293;0.23680599
Guyane2010;2010-10-20T15:36;5.26968;-52.55632;61.282623;0.096726
Guyane2010;2010-10-20T15:36;5.26968;-52.55632;61.282623;0.096726
Guyane2010;2010-10-21T18:48;4.98442;-52.19847;61.59629;0.11002581
Guyane2010;2010-10-21T18:48;4.98442;-52.19847;61.59629;0.19122607
Guyane2010;2010-10-21T18:48;4.98442;-52.19847;61.59629;0.11002581
Guyane2010;2010-10-21T18:48;4.98442;-52.19847;61.59629;0.19122607
Guyane2010;2010-10-18T12:19;5.18585;-52.52258;61.59629;0.27421102
Guyane2010;2010-10-18T12:19;5.18585;-52.52258;61.59629;0.27421102
Guyane2010;2010-10-21T17:32;4.95755;-52.2201;62.34125;0.12695259
Guyane2010;2010-10-21T17:32;4.95755;-52.2201;62.34125;0.12695259
Guyane2010;2010-10-20T14:37;5.24232;-52.576;63.870373;0.9392781
Guyane2010;2010-10-20T14:37;5.24232;-52.576;63.870373;0.9392781
Guyane2010;2010-10-20T14:37;5.24232;-52.576;65.90921;0.18752158
Guyane2010;2010-10-20T14:37;5.24232;-52.576;65.90921;0.18752158
Dyphyma;2012-04-28T10:45;50.6395;0.44718;68.23818;0.0981
Dyphyma;2012-04-28T10:45;50.6395;0.44718;68.23818;0.0981
Guyane2010;2010-10-19T17:44;5.28583;-52.72467;68.26171;0.19813487
Guyane2010;2010-10-19T17:44;5.28583;-52.72467;68.26171;0.19813487
Guyane2010;2010-10-17T15:12;5.33677;-52.68803;68.30092;0.16389674
Guyane2010;2010-10-17T15:12;5.33677;-52.68803;68.30092;0.16389674
Guyane2010;2010-10-19T11:13;5.21712;-52.62633;68.496956;0.22118407
Guyane2010;2010-10-19T11:13;5.21712;-52.62633;68.496956;0.22118407
Moore_gulf_of_maine;2007-03-21T15:00;43.1799;69.57173;68.74332;0.548163
Moore_gulf_of_maine;2007-03-21T15:00;43.1799;69.57173;68.74332;0.548163
Guyane2010;2010-10-17T11:30;5.28543;-52.72117;69.08508;0.46831465
Guyane2010;2010-10-17T11:30;5.28543;-52.72117;69.08508;0.46831465
Guyane2010;2010-10-19T17:44;5.28583;-52.72467;69.12429;0.29372886
Guyane2010;2010-10-19T17:44;5.28583;-52.72467;69.12429;0.29372886
Moore_gulf_of_maine;2007-07-17T18:00;42.861282;-69.86107;70.02374;-999.99
Moore_gulf_of_maine;2007-07-17T18:00;42.861282;-69.86107;70.02374;-999.99
Moore_gulf_of_maine;2006-05-08T15:05;42.99248;-70.41825;70.932205;-999.99
Moore_gulf_of_maine;2006-05-08T15:05;42.99248;-70.41825;70.932205;-999.99
Guyane2010;2010-10-19T12:50;5.24055;-52.59;71.31996;0.4078801
Guyane2010;2010-10-19T12:50;5.24055;-52.59;71.31996;0.4078801
AMAZOMIX;2021-09-09T14:24;2.5667;-45.2998;72.658;-999.99
Guyane2010;2010-10-21T18:48;4.98442;-52.19847;72.77067;0.22425513
Guyane2010;2010-10-21T18:48;4.98442;-52.19847;72.77067;0.22425513
Moore_gulf_of_maine;2007-03-21T18:00;43.5665;69.9419;72.87803;0.635378
Moore_gulf_of_maine;2007-03-21T18:00;43.5665;69.9419;72.87803;0.635378
AMAZOMIX;2021-09-19T15:30;4.3865;-49.7742;73.006;-999.99
AMAZOMIX;2021-09-10T12:40;2.5667;-45.2998;73.044;-999.99
AMAZOMIX;2021-09-09T19:51;2.5667;-45.2998;73.327;-999.99
AMAZOMIX;2021-09-21T10:15;3.7475;-48.8725;73.358;-999.99
Dyphyma;2012-04-28T07:24;50.7434;0.50507;74.11943;0.1012
Dyphyma;2012-04-28T07:24;50.7434;0.50507;74.11943;0.1012
AMAZOMIX;2021-09-08T14:34;1.741;-45.3728;75.133;-999.99
AMAZOMIX;2021-09-01T11:10;0.7698;-46.316;75.144;-999.99
VITEL2014;2014-06-21T08:55;9.9631;106.8664;75.574;0.08608614
VITEL2014;2014-06-21T08:55;9.9631;106.8664;75.574;0.08608614
AMAZOMIX;2021-09-09T19:51;2.5667;-45.2998;75.803;-999.99
AMAZOMIX;2021-09-18T15:30;4.868;-49.2873;75.95;-999.99
AMAZOMIX;2021-09-02T15:34;1.0433;-46.1498;75.954;-999.99
Guyane2010;2010-10-17T13:43;5.33215;-52.71517;76.33862;0.51984453
Guyane2010;2010-10-17T13:43;5.33215;-52.71517;76.33862;0.51984453
AMAZOMIX;2021-09-24T19:30;2.349;-48.3957;76.608;-999.99
AMAZOMIX;2021-09-06T21:10;0.8928;-45.4712;76.806;-999.99
AMAZOMIX;2021-09-09T14:24;2.5667;-45.2998;77.056;-999.99
AMAZOMIX;2021-09-08T20:24;1.741;-45.3728;77.219;-999.99
AMAZOMIX;2021-09-09T14:24;2.5667;-45.2998;77.311;-999.99
AMAZOMIX;2021-09-17T19:04;4.1265;-50.0388;77.363;-999.99
AMAZOMIX;2021-09-17T10:30;4.1063;-50.4843;77.6;-999.99
AMAZOMIX;2021-09-08T14:34;1.741;-45.3728;77.692;-999.99
AMAZOMIX;2021-09-05T21:21;0.6412;-45.4862;77.769;-999.99
AMAZOMIX;2021-08-31T20:43;1.9382;-47.1837;78.305;-999.99
VITEL2014;2014-06-26T08:50;9.786;106.798;78.534;0.04896178
VITEL2014;2014-06-26T08:50;9.786;106.798;78.534;0.04896178
AMAZOMIX;2021-09-09T19:51;2.5667;-45.2998;78.553;-999.99
AMAZOMIX;2021-09-10T12:40;2.5667;-45.2998;78.856;-999.99
Dyphyma;2012-04-29T19:12;50.7526;1.5494;79.09889;0.1867
Dyphyma;2012-04-29T19:12;50.7526;1.5494;79.09889;0.1867
Moore_gulf_of_maine;2007-08-20T16:55;42.88957;-70.13983;79.27683;-999.99
Moore_gulf_of_maine;2007-08-20T16:55;42.88957;-70.13983;79.27683;-999.99
VITEL2014;2014-06-22T09:30;9.6859;106.75;79.318;0.08995518
VITEL2014;2014-06-22T09:30;9.6859;106.75;79.318;0.08995518
Guyane2010;2010-10-21T15:52;4.90942;-52.21995;79.31846;0.40003142
Guyane2010;2010-10-21T15:52;4.90942;-52.21995;79.31846;0.40003142
Guyane2010;2010-10-17T13:43;5.33215;-52.71517;79.5145;0.30802584
Guyane2010;2010-10-17T13:43;5.33215;-52.71517;79.5145;0.30802584
AMAZOMIX;2021-09-03T21:34;1.3425;-46.0243;79.533;-999.99
Moore_gulf_of_maine;2007-08-20T15:10;42.940918;-70.294;79.62578;-999.99
Moore_gulf_of_maine;2007-08-20T15:10;42.940918;-70.294;79.62578;-999.99
AMAZOMIX;2021-09-07T14:50;1.4865;-45.4015;79.742;-999.99
Moore_gulf_of_maine;2007-05-02T15:50;43.0079;-69.965866;79.81527;-999.99
Moore_gulf_of_maine;2007-05-02T15:50;43.0079;-69.965866;79.81527;-999.99
AMAZOMIX;2021-09-18T15:30;4.868;-49.2873;79.845;-999.99
AMAZOMIX;2021-09-05T21:21;0.6412;-45.4862;79.861;-999.99
AMAZOMIX;2021-09-07T14:50;1.4865;-45.4015;80;-999.99
Guyane2010;2010-10-20T13:36;5.214;-52.59377;80.14183;0.3361614
Guyane2010;2010-10-20T13:36;5.214;-52.59377;80.14183;0.3361614
VITEL2014;2014-06-26T02:45;8.7175;106.6623;80.233;0.08095045
VITEL2014;2014-06-26T02:45;8.7175;106.6623;80.233;0.08095045
Dyphyma;2012-04-28T08:37;50.7672;0.37903;80.23593;0.1724
Dyphyma;2012-04-28T08:37;50.7672;0.37903;80.23593;0.1724
VITEL2014;2014-06-22T04:45;9.7596;106.8196;80.39;0.12995829
VITEL2014;2014-06-22T04:45;9.7596;106.8196;80.39;0.12995829
AMAZOMIX;2021-09-16T11:08;4.7842;-50.4625;80.4;-999.99
AMAZOMIX;2021-09-05T21:21;0.6412;-45.4862;81.105;-999.99
VITEL2014;2014-06-24T05:10;9.2511;106.6919;81.344;0.05025146
VITEL2014;2014-06-24T05:10;9.2511;106.6919;81.344;0.05025146
AMAZOMIX;2021-09-07T22:13;1.4865;-45.4015;81.421;-999.99
Moore_gulf_of_maine;2005-07-12T13:36;42.993668;-70.423836;81.46056;-999.99
Moore_gulf_of_maine;2005-07-12T13:36;42.993668;-70.423836;81.46056;-999.99
AMAZOMIX;2021-09-10T12:40;2.5667;-45.2998;81.522;-999.99
AMAZOMIX;2021-09-24T10:05;2.4525;-48.9877;81.646;-999.99
AMAZOMIX;2021-09-08T14:34;1.741;-45.3728;81.706;-999.99
Guyane2010;2010-10-18T18:10;5.22522;-52.59917;81.98463;0.1977891
Guyane2010;2010-10-18T18:10;5.22522;-52.59917;81.98463;0.1977891
Guyane2010;2010-10-18T16:09;5.1598;-52.62333;82.023834;0.4532496
Guyane2010;2010-10-18T16:09;5.1598;-52.62333;82.023834;0.4532496
VITEL2014;2014-06-22T06:20;9.7597;106.7419;82.115;0.09195879
VITEL2014;2014-06-22T06:20;9.7597;106.7419;82.115;0.09195879
AMAZOMIX;2021-09-20T10:17;3.4468;-49.7143;82.467;-999.99
Guyane2010;2010-10-18T19:07;5.28518;-52.63717;82.65117;0.2157911
Guyane2010;2010-10-18T19:07;5.28518;-52.63717;82.65117;0.2157911
Guyane2010;2010-10-18T14:17;5.15583;-52.59667;82.69038;0.47042653
Guyane2010;2010-10-18T14:17;5.15583;-52.59667;82.69038;0.47042653
Guyane2010;2010-10-18T13:52;5.13832;-52.5615;82.729576;0.37155098
Guyane2010;2010-10-18T13:52;5.13832;-52.5615;82.729576;0.37155098
Dyphyma;2012-04-29T18:13;50.6808;1.5201;82.9021;0.2093
Dyphyma;2012-04-29T18:13;50.6808;1.5201;82.9021;0.2093
VITEL2014;2014-06-25T05:15;9.2787;106.3029;83.135;0.16093364
VITEL2014;2014-06-25T05:15;9.2787;106.3029;83.135;0.16093364
Guyane2012;2012-06-03T15:37;4.7058973;-51.82124;83.18;0.6283733
Guyane2012;2012-06-03T15:37;4.7058973;-51.82124;83.18;0.6283733
VITEL2014;2014-06-24T03:45;9.2038;106.7609;83.292;0.04594485
VITEL2014;2014-06-24T03:45;9.2038;106.7609;83.292;0.04594485
VITEL2014;2014-06-21T04:45;10.0579;106.917;83.305;0.08530312
VITEL2014;2014-06-21T04:45;10.0579;106.917;83.305;0.08530312
AMAZOMIX;2021-09-25T10:00;1.3905;-48.3107;83.336;-999.99
AMAZOMIX;2021-09-02T15:34;1.0433;-46.1498;83.433;-999.99
Dyphyma;2012-04-27T15:37;50.7938;1.53852;83.49023;0.2453
Dyphyma;2012-04-27T15:37;50.7938;1.53852;83.49023;0.2453
VITEL2014;2014-06-26T07:20;9.0498;106.7654;83.658;0.05057388
VITEL2014;2014-06-26T07:20;9.0498;106.7654;83.658;0.05057388
VITEL2014;2014-06-26T05:30;8.9054;106.7265;84.2;0.03175837
VITEL2014;2014-06-26T05:30;8.9054;106.7265;84.2;0.03175837
AMAZOMIX;2021-08-31T13:48;2.2785;-47.097;84.25;-999.99
Guyane2010;2010-10-17T17:17;5.26253;-52.69943;84.65079;0.33650696
Guyane2010;2010-10-17T17:17;5.26253;-52.69943;84.65079;0.33650696
Dyphyma;2012-04-21T09:36;51.0918;1.36502;84.70568;0.1262
Dyphyma;2012-04-21T09:36;51.0918;1.36502;84.70568;0.1262
VITEL2014;2014-06-25T03:45;9.3353;106.3834;84.768;0.15047802
VITEL2014;2014-06-25T03:45;9.3353;106.3834;84.768;0.15047802
AMAZOMIX;2021-09-08T20:24;1.741;-45.3728;84.897;-999.99
Dyphyma;2012-04-29T07:17;50.0761;1.32283;84.94093;0.2255
Dyphyma;2012-04-29T07:17;50.0761;1.32283;84.94093;0.2255
AMAZOMIX;2021-09-19T15:30;4.3865;-49.7742;85.25;-999.99
Guyane_radiale;2014-12-16T13:32;5.029;-52.1153;85.25852;0.16121
Guyane_radiale;2014-12-16T13:32;5.029;-52.1153;85.25852;0.16121
Guyane_Nov2017;2017-11-08T18:53;5.279104;-52.59887;85.505554;0.3521264
Guyane_Nov2017;2017-11-08T18:53;5.279104;-52.59887;85.505554;0.3521264
VITEL2014;2014-06-25T07:10;9.1611;106.3678;85.572;0.09168243
VITEL2014;2014-06-25T07:10;9.1611;106.3678;85.572;0.09168243
AMAZOMIX;2021-09-24T15:15;2.4315;-48.7507;85.667;-999.99
VITEL2013;2013-07-01T03:05;20.8183;106.903;85.79;0.5389
VITEL2013;2013-07-01T03:05;20.8183;106.903;85.79;0.5389
AMAZOMIX;2021-09-23T14:30;3.4348;-48.5643;86.008;-999.99
VITEL2014;2014-06-24T07:50;9.3414;106.5625;86.115;0.07358085
VITEL2014;2014-06-24T07:50;9.3414;106.5625;86.115;0.07358085
VITEL2014;2014-06-23T02:00;9.6419;106.7088;86.219;0.1904581
VITEL2014;2014-06-23T02:00;9.6419;106.7088;86.219;0.1904581
Guyane2010;2010-10-20T12:03;5.15942;-52.62333;86.29754;0.6820911
Guyane2010;2010-10-20T12:03;5.15942;-52.62333;86.29754;0.6820911
VITEL2014;2014-06-22T08:00;9.6883;106.7408;86.402;0.12102265
VITEL2014;2014-06-22T08:00;9.6883;106.7408;86.402;0.12102265
VITEL2011;2011-11-10T04:42;20.9284;107.0873;86.447815;0.18403333
VITEL2011;2011-11-10T04:42;20.9284;107.0873;86.447815;0.18403333
AMAZOMIX;2021-09-16T19:20;4.3962;-50.545;86.458;-999.99
ambleteuse;2006-03-16T09:16;50.8;1.567;86.81019;-999.99
ambleteuse;2006-03-16T09:16;50.8;1.567;86.81019;-999.99
Guyane2010;2010-10-21T15:52;4.90942;-52.21995;86.96408;0.60563153
Guyane2010;2010-10-21T15:52;4.90942;-52.21995;86.96408;0.60563153
VITEL2011;2011-11-10T03:01;20.9359;107.1292;87.254486;0.17378333
VITEL2011;2011-11-10T03:01;20.9359;107.1292;87.254486;0.17378333
VITEL2014;2014-06-22T02:00;9.7523;107.0046;87.356;0.09260363
VITEL2014;2014-06-22T02:00;9.7523;107.0046;87.356;0.09260363
Dyphyma;2012-04-29T09:47;50.2395;1.44155;87.41106;0.2196
Dyphyma;2012-04-29T09:47;50.2395;1.44155;87.41106;0.2196
VITEL2014;2014-06-25T02:30;9.3697;106.4413;87.513;0.24068654
VITEL2014;2014-06-25T02:30;9.3697;106.4413;87.513;0.24068654
Moore_gulf_of_maine;2007-09-11T15:15;42.940083;-70.29295;87.53939;-999.99
Moore_gulf_of_maine;2007-09-11T15:15;42.940083;-70.29295;87.53939;-999.99
Moore_gulf_of_maine;2007-09-11T14:10;42.996616;-70.42063;87.89564;-999.99
Moore_gulf_of_maine;2007-09-11T14:10;42.996616;-70.42063;87.89564;-999.99
VITEL2014;2014-06-21T09:45;9.9504;106.8265;88.01;0.16701356
VITEL2014;2014-06-21T09:45;9.9504;106.8265;88.01;0.16701356
VITEL2011;2011-11-09T03:23;20.8163;107.1034;88.35578;0.13551667
VITEL2011;2011-11-09T03:23;20.8163;107.1034;88.35578;0.13551667
VITEL2014;2014-06-24T02:15;9.1658;106.8011;88.572;0.04976783
VITEL2014;2014-06-24T02:15;9.1658;106.8011;88.572;0.04976783
VITEL2011;2011-11-08T04:47;20.8343;107.0706;88.720535;0.23659167
VITEL2011;2011-11-08T04:47;20.8343;107.0706;88.720535;0.23659167
Dyphyma;2012-04-28T05:47;50.7105;0.67943;88.86176;0.082
Dyphyma;2012-04-28T05:47;50.7105;0.67943;88.86176;0.082
Guyane_radiale;2014-09-17T14:25;5.0808;-52.0742;88.9245;0.06280909
Guyane_radiale;2014-09-17T14:25;5.0808;-52.0742;88.9245;0.06280909
AMAZOMIX;2021-09-23T20:35;3.2103;-48.4755;89.417;-999.99
VITEL2011;2011-11-12T05:25;20.3857;106.7083;89.48;0.10423333
VITEL2011;2011-11-12T05:25;20.3857;106.7083;89.48;0.10423333
VITEL2014;2014-06-25T08:55;9.0602;106.4161;89.709;0.05444292
VITEL2014;2014-06-25T08:55;9.0602;106.4161;89.709;0.05444292
Moore_gulf_of_maine;2006-10-09T17:55;42.888718;-70.13987;89.88671;0.763991
Moore_gulf_of_maine;2006-10-09T17:55;42.888718;-70.13987;89.88671;0.763991
Guyane2010;2010-10-21T16:29;4.92417;-52.22955;90.17916;0.42734104
Guyane2010;2010-10-21T16:29;4.92417;-52.22955;90.17916;0.42734104
VITEL2013;2013-07-01T07:15;20.8154;106.842;90.28;0.8867
VITEL2013;2013-07-01T07:15;20.8154;106.842;90.28;0.8867
ambleteuse;2005-05-26T00:00;50.8;1.538;90.30733;-999.99
ambleteuse;2005-05-26T00:00;50.8;1.538;90.30733;-999.99
Guyane_radiale;2015-09-17T15:10;5.029;-52.1153;90.39481;-0.03212685
Guyane_radiale;2015-09-17T15:10;5.029;-52.1153;90.39481;-0.03212685
Guyane_radiale;2014-12-16T14:45;5.0808;-52.0742;90.96333;0.2009891
Guyane_radiale;2014-12-16T14:45;5.0808;-52.0742;90.96333;0.2009891
VITEL2014;2014-06-22T03:30;9.7618;106.9095;90.989;0.15754823
VITEL2014;2014-06-22T03:30;9.7618;106.9095;90.989;0.15754823
AMAZOMIX;2021-09-23T14:30;3.4348;-48.5643;91.25;-999.99
Moore_gulf_of_maine;2005-03-17T20:30;43.183;-70.428665;91.374916;1.100922
Moore_gulf_of_maine;2005-03-17T20:30;43.183;-70.428665;91.374916;1.100922
VITEL2011;2011-11-08T04:47;20.8343;107.0706;91.554436;0.07261457
VITEL2011;2011-11-08T04:47;20.8343;107.0706;91.554436;0.07261457
Guyane2010;2010-10-20T12:44;5.18425;-52.61278;91.7475;2.2588565
Guyane2010;2010-10-20T12:44;5.18425;-52.61278;91.7475;2.2588565
VITEL2014;2014-06-21T05:55;10.0415;107.0324;91.944;0.31325406
VITEL2014;2014-06-21T05:55;10.0415;107.0324;91.944;0.31325406
VITEL2013;2013-07-01T04:25;20.8136;106.909;91.97;0.5781
VITEL2013;2013-07-01T04:25;20.8136;106.909;91.97;0.5781
Dyphyma;2012-04-20T12:25;50.9907;1.45252;92.03764;0.1238
Dyphyma;2012-04-20T12:25;50.9907;1.45252;92.03764;0.1238
Dyphyma;2012-04-21T14:00;50.8615;1.557;92.11606;0.2316
Dyphyma;2012-04-21T14:00;50.8615;1.557;92.11606;0.2316
Guyane2016;2016-11-29T13:17;4.96111;-52.190556;92.27778;0.4274054
Guyane2016;2016-11-29T13:17;4.96111;-52.190556;92.27778;0.4274054
VITEL2014;2014-06-23T06:30;9.4888;106.5132;92.336;0.13329764
VITEL2014;2014-06-23T06:30;9.4888;106.5132;92.336;0.13329764
VITEL2014;2014-06-21T03:50;10.0745;106.9657;92.349;0.15932155
VITEL2014;2014-06-21T03:50;10.0745;106.9657;92.349;0.15932155
Guyane_Nov2017;2017-11-09T11:45;5.401069;-52.741623;92.80556;0.4087111
Guyane_Nov2017;2017-11-09T11:45;5.401069;-52.741623;92.80556;0.4087111
Guyane_Nov2017;2017-11-09T16:10;5.517879;-52.92905;93;0.5331652
Guyane_Nov2017;2017-11-09T16:10;5.517879;-52.92905;93;0.5331652
Guyane_Nov2017;2017-11-09T13:30;5.408439;-52.8653;93.083336;0.4641167
Guyane_Nov2017;2017-11-09T13:30;5.408439;-52.8653;93.083336;0.4641167
Guyane_radiale;2015-01-16T14:15;5.029;-52.1153;93.09365;0.30567092
Guyane_radiale;2015-01-16T14:15;5.029;-52.1153;93.09365;0.30567092
VITEL2011;2011-11-08T03:48;20.8553;107.0635;93.26599;0.12749515
VITEL2011;2011-11-08T03:48;20.8553;107.0635;93.26599;0.12749515
Guyane_radiale;2014-11-18T12:30;5.029;-52.1153;93.459595;0.12771182
Guyane_radiale;2014-11-18T12:30;5.029;-52.1153;93.459595;0.12771182
VITEL2014;2014-06-23T04:10;9.5744;106.6266;93.656;0.12030872
VITEL2014;2014-06-23T04:10;9.5744;106.6266;93.656;0.12030872
Guyane_Nov2017;2017-11-10T21:00;5.47095;-52.978676;93.69444;0.57676333
Guyane_Nov2017;2017-11-10T21:00;5.47095;-52.978676;93.69444;0.57676333
AMAZOMIX;2021-09-25T15:20;1.2975;-48.1975;93.861;-999.99
Moore_gulf_of_maine;2007-02-22T15:05;42.939083;-70.29252;93.925026;-999.99
Moore_gulf_of_maine;2007-02-22T15:05;42.939083;-70.29252;93.925026;-999.99
Dyphyma;2012-04-27T17:09;50.8625;1.55933;94.03727;0.2248
Dyphyma;2012-04-27T17:09;50.8625;1.55933;94.03727;0.2248
Guyane_radiale;2015-07-10T16:15;5.0808;-52.0742;94.06079;0.09212
Guyane_radiale;2015-07-10T16:15;5.0808;-52.0742;94.06079;0.09212
Guyane_radiale;2014-11-18T11:50;4.98623;-52.1478;94.17841;0.20727
Guyane_radiale;2014-11-18T11:50;4.98623;-52.1478;94.17841;0.20727
Guyane_Nov2017;2017-11-09T15:40;5.497144;-52.94449;94.19444;0.29415068
Guyane_Nov2017;2017-11-09T15:40;5.497144;-52.94449;94.19444;0.29415068
VITEL2011;2011-11-09T07:09;20.8244;107.0838;94.41639;0.233525
VITEL2011;2011-11-09T07:09;20.8244;107.0838;94.41639;0.233525
Guyane_radiale;2015-09-17T15:40;4.98623;-52.1478;94.43327;0.25883418
Guyane_radiale;2015-09-17T15:40;4.98623;-52.1478;94.43327;0.25883418
VITEL2011;2011-11-09T03:23;20.8163;107.1034;94.58474;0.16740833
VITEL2011;2011-11-09T03:23;20.8163;107.1034;94.58474;0.16740833
Moore_gulf_of_maine;2005-03-18T17:10;42.939835;-70.29417;94.68289;0.500279
